Grid scores on validation set:
0.961 (+/-0.026) for {'model__activation': 'logistic', 'model__alpha': 0.0001, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.959 (+/-0.022) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.641 (+/-0.185) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.519 (+/-0.536) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.953 (+/-0.047) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.564 (+/-0.156) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.649 (+/-0.172) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.961 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.750 (+/-0.233) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.608 (+/-0.212) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.959 (+/-0.032) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.787 (+/-0.157) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.651 (+/-0.166) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.960 (+/-0.036) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.710 (+/-0.442) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.650 (+/-0.170) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.969 (+/-0.017) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.623 (+/-0.362) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.4, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.012) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.603 (+/-0.674) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.491 (+/-0.511) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.921 (+/-0.187) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.686 (+/-0.367) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.476 (+/-0.518) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.942 (+/-0.107) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.905 (+/-0.154) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.675 (+/-0.070) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.956 (+/-0.039) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.675 (+/-0.380) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.957 (+/-0.062) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.703 (+/-0.257) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.653 (+/-0.158) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.5, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.962 (+/-0.023) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.735 (+/-0.231) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.575 (+/-0.131) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.928 (+/-0.146) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.588 (+/-0.633) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.527 (+/-0.535) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.016) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.708 (+/-0.347) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.646 (+/-0.114) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.968 (+/-0.012) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.802 (+/-0.315) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.692 (+/-0.000) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.973 (+/-0.009) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.778 (+/-0.266) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.519 (+/-0.536) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.6, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.888 (+/-0.234) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.665 (+/-0.055) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.651 (+/-0.166) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.964 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.713 (+/-0.240) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.530 (+/-0.270) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.966 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.910 (+/-0.152) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.553 (+/-0.448) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.967 (+/-0.008) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.608 (+/-0.713) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.563 (+/-0.142) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.970 (+/-0.003) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.774 (+/-0.207) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.387 (+/-0.640) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.001, 'model__beta_1': 0.7, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.955 (+/-0.047) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.653 (+/-0.663) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.447 (+/-0.448) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.968 (+/-0.013) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.576 (+/-0.613) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.650 (+/-0.170) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.969 (+/-0.015) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.765 (+/-0.228) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.679 (+/-0.055) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.011) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.628 (+/-0.183) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.365 (+/-0.624) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.929 (+/-0.148) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.588 (+/-0.173) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.3, 'model__beta_2': 0.7, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.959 (+/-0.020) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.852 (+/-0.264) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.607 (+/-0.213) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.415 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.3, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.958 (+/-0.023) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.624 (+/-0.469) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.582 (+/-0.323) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.554 (+/-0.554) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.4, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.965 (+/-0.021) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
0.733 (+/-0.324) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.01, 'model__solver': 'adam'}
0.476 (+/-0.515) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.1, 'model__solver': 'adam'}
0.277 (+/-0.678) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.5, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 1, 'model__solver': 'adam'}
0.961 (+/-0.024) for {'model__activation': 'logistic', 'model__alpha': 0.01, 'model__beta_1': 0.4, 'model__beta_2': 0.6, 'model__hidden_layer_sizes': (16, 16), 'model__learning_rate_init': 0.001, 'model__solver': 'adam'}
